player,elo_global,elo_Hard,elo_Clay,elo_Grass
Stefano Travaglia,1633.5355609406367,1617.5434635310685,1629.6326206061565,1463.5030019988862
Radu Albot,1797.7522277001815,1725.7321072177624,1679.3242170516712,1594.1772286461244
Kevin Krawietz,1568.44851815859,1510.3498753388044,1562.8991322029744,1487.4981050366828
Denis Kudla,1643.0548095548022,1634.0935696173829,1560.096656620731,1570.1444330761594
Tennys Sandgren,1691.8742541831696,1641.4237970000413,1619.9295935053312,1571.2520130815276
Miljan Zekic,1559.9437290732822,1490.0972162619703,1548.100849911277,1480.0202175525246
Steve Johnson,1702.2924894482655,1663.01057501484,1662.537713054776,1583.2194323789463
Shendrit Deari,1481.313511900229,1492.16933170426,1488.0,
Facundo Bagnis,1775.0461337241204,1580.2583623916871,1776.1204589640122,1363.720504883846
Martin Cuevas,1512.6559460836063,1446.8756991940402,1503.122112461215,
Bradley Klahn,1573.9583829344322,1563.129941260907,1459.274771186839,1438.9181184892864
Alexey Nesterov,1451.411006786871,1473.4733551550476,1476.947841798053,
Jason Kubler,1815.7271662460348,1700.6600973994491,1674.80208992625,1656.711998171551
James Duckworth,1771.0900311386215,1695.4896719673343,1517.2811189863105,1600.6040553487824
Luke Saville,1498.6711489285003,1485.495484579509,1401.5839793058717,1469.3560345927535
Pablo Carreno Busta,1836.1943989052504,1825.514693353464,1806.957082447512,1453.6007689320836
Jack Sock,1760.9590181076558,1703.613353526556,1704.4992252067375,1647.2872301886528
David Agung Susanto,1409.6078922663792,1419.5294384660178,1502.2598674278702,1474.8486678307647
Marton Fucsovics,1889.064864235883,1800.3863190297463,1783.4473088190955,1658.962058875128
Mohamed Safwat,1535.659211948482,1499.363576164531,1533.0919808590606,1501.6970554272848
Federico Zeballos,1385.9512014655245,1424.5158640919367,1380.4564374183483,
Jiri Vesely,1639.1765569723038,1637.5046732398348,1537.3825807678545,1591.7076206923075
Yannick Hanfmann,1762.2822214907374,1658.8665595549903,1770.9060310408977,1498.856777013855
Joao Domingues,1516.1863112333797,1476.896495498144,1487.791580768496,1439.8978598384565
Frederico Ferreira Silva,1548.965622647393,1509.7453365959557,1541.3959633658208,1516.7294894534898
Sekou Bangoura,1531.073298821902,1538.9305306520678,1473.460705045131,1485.6600270881406
Stefano Napolitano,1700.9631275399777,1641.5728498421502,1641.9611832587616,1527.4143969927543
Ji Sung Nam,1554.9079402781713,1558.8383665829754,1461.0075756090027,1514.0
Marcos Giron,1956.6908829615763,1871.600899912523,1653.3099562531092,1647.890267654877
Roberto Marcora,1577.4390270354754,1542.7450579834351,1525.6934730082648,1432.929393892436
Damir Dzumhur,1731.8871752558043,1589.6789511305192,1762.7464623475564,1521.8284528399126
Hugo Dellien,1740.9454688958856,1499.8712001823342,1727.9948424240376,1445.304249519271
Elmar Ejupovic,1506.8322281220378,1491.3973050468794,1489.894126263478,
Guillermo Duran,1476.6146135653055,1450.7593033351047,1461.82803160209,
Lucas Renard,1454.4675893360925,1478.0824867188155,1441.631858550404,
Filip Bergevi,1432.5869149037478,1493.2725632578356,1424.266545497803,
Hugo Nys,1580.5633936424335,1534.0856956472214,1532.9258046185362,
Dominic Thiem,1722.0640709726335,1790.8049303721164,1665.190914407754,1548.832272881842
Marco Cecchinato,1634.5729837702784,1496.6102835712154,1611.72103185734,1426.5917422517398
Cristian Rodriguez,1455.292206531626,1486.3376816604357,1450.4050973455594,
Gonzalo Lama,1496.0177599831438,1407.1671282369166,1495.8872003534027,1474.135818948717
Diego Schwartzman,1754.6158820639243,1738.2161894906556,1699.1653151098317,1505.5495588615056
Kenny De Schepper,1502.0315786336853,1524.6686176913072,1427.5539598046164,1529.698886765277
Thiago Monteiro,1763.7939467321385,1620.0104834315462,1814.4650430266768,1487.6413677481028
Karue Sell,1659.3811167895724,1577.4917416586125,1614.4945650971952,
Antoine Escoffier,1676.6650790957149,1632.711846405626,1427.8160161488302,1467.6101108434982
Renzo Olivo,1579.7021111898791,1495.5052723763106,1537.5509190958237,1446.63464922278
Guido Andreozzi,1634.282922605817,1615.1661136322678,1621.579997562086,1405.0599663107123
Juan Ignacio Londero,1612.0658712092427,1510.7955542652512,1620.0662724357574,1444.1408502529994
Mathias Bourgue,1566.1447898261397,1590.2776939696012,1557.0472302350197,1479.2044167145082
Bjorn Fratangelo,1656.7221176083165,1604.0876049304388,1668.9713031980066,1525.8812317546813
Dimitar Kuzmanov,1620.318181536689,1606.8913975998553,1570.7659181608833,1481.157336764507
Albano Olivetti,1561.56016396328,1543.8026917517834,1431.1788945443902,1479.5893889764027
Nicolas Barrientos,1521.5157170975983,1430.313656129259,1540.9912087293428,
Peter Heller,1520.3219162795924,1453.7606366499297,1515.3093497407388,
Nikola Milojevic,1473.0053224946168,1574.0739539223491,1468.100684626913,1469.0411684196902
Norbert Gombos,1611.503551664571,1600.3628029806252,1571.142503902128,1477.1033442524383
Romain Arneodo,1488.9494206315935,1484.4523139527205,1483.9821877976708,
Julius Tverijonas,1443.6702799310349,1469.0176093816297,1466.6869958926854,
Filip Peliwo,1503.809872784752,1492.2428868890245,1474.4890478738932,1466.7944625529356
Maximilian Marterer,1707.616095881986,1635.5315055030976,1673.71801260592,1561.1680189879687
Diego Hidalgo,1391.2620005239414,1413.1866190851067,1400.5070705452704,
